id,name,parent,created_at,updated_at
1,内用薬-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
2,内用薬-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
3,外用薬-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
4,外用薬-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
5,注射薬-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
6,注射薬-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
7,漢方薬-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
8,漢方薬-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
9,検査-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
10,検査-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
11,処置-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
12,処置-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
13,手術-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
14,手術-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
15,指導等-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
16,指導等-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
17,医療機器-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
18,医療機器-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
19,代替療法-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
20,代替療法-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
21,情報提供、文書等-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
22,情報提供、文書等-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
23,その他-対象,,2023-04-17 11:08:50,2023-04-17 11:08:50
24,その他-対象外,,2023-04-17 11:08:50,2023-04-17 11:08:50
25,フェノバルビタール,1,2023-04-17 11:08:50,2023-04-17 11:08:50
26,臭化カリウム,1,2023-04-17 11:08:50,2023-04-17 11:08:50
27,フェニトイン,1,2023-04-17 11:08:50,2023-04-17 11:08:50
28,「純生」アネステジン,1,2023-04-17 11:08:50,2023-04-17 11:08:50
29,アネスタミン「ツキシマ」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
30,アネトカインビスカス2%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
31,アミノ安息香酸エチル,1,2023-04-17 11:08:50,2023-04-17 11:08:50
32,ストロカイン錠 5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
33,スルカイン錠 100mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
34,ピペリジノアセチルアミノ安息香酸エチル顆粒,1,2023-04-17 11:08:50,2023-04-17 11:08:50
35,リドカイン塩酸ビス 2%「日新」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
36,「純生」ブロムワレリル尿素,1,2023-04-17 11:08:50,2023-04-17 11:08:50
37,「純生」ルミナール,1,2023-04-17 11:08:50,2023-04-17 11:08:50
38,10mgコントール錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
39,10mgセルシン錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
40,2mgピーゼットシー糖衣錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
41,アスコマーナ錠0.25 0.25mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
42,アズトレム錠1mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
43,アズロゲン錠 1mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
44,アゾリタン錠0.4 0.4mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
45,アトリプタール錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
46,アビリット錠100 100mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
47,ブロチゾラム錠0.25mg「日新」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
48,アモキサンカプセル10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
49,アモバルビタール,1,2023-04-17 11:08:50,2023-04-17 11:08:50
50,アモバンテス錠7.5 7.5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
51,アモバン錠10 10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
52,エチゾラム錠0.5mg「日医工」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
53,トラゾドン塩酸塩錠25mg/50mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
54,アントマイリン錠7.5 7.5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
55,アンプリット錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
56,クロチアゼパム錠5mg「サワイ」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
57,イソミタール,1,2023-04-17 11:08:50,2023-04-17 11:08:50
58,イミドール糖衣錠(10) 10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
59,インプロメン細粒1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
60,エスタゾラム錠1mg「アメル」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
61,エチカーム錠0.5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
62,エチセダン錠0.5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
63,エチゾラム錠0.5mg「EMEC」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
64,エチドラール細粒 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
65,エバミール錠1.0 1mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
66,エビリファイ散1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
67,エマンダキシン細粒 10%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
68,エミレース細粒2%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
69,エモレックス錠 5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
70,エリスパン細粒 0.1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
71,オーラップ細粒 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
72,カームダン錠0.4mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
73,エチゾラム錠「オーハラ」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
74,カマリネス5 5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
75,カムリトン0.25mg錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
76,グッドミン錠0.25mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
77,グペリース錠 0.5mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
78,トフィソパム錠50mg「JG」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
79,グランダキシン細粒 10%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
80,グランパム錠 50mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
81,クリテミン錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
82,クレミン錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
83,クロフェクトン錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
84,クロルジアゼポキシド散1%/クロルジアゼポキシド錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
85,クロンモリン錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
86,ゲースベン錠 50mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
87,ハロペリドール細粒 1%「トーワ」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
88,コバンダキシン錠 50mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
89,コレミナール細粒 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
90,コンスーン100倍散 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
91,コンスタン0.4mg錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
92,コントール散1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
93,ジアパックス錠2mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
94,ジェイゾロフト錠25mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
95,ジスロン錠 10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
96,ジプレキサザイディス錠10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
97,ジプレキサ細粒1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
98,ジメトックス錠1 1mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
99,シンベラミンD錠0.25mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
100,スイロリン細粒 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
101,スカノーゼン錠100 100mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
102,スカルナーゼ錠1mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
103,スルトプリド塩酸塩「アメル」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
104,スピロピタン散 0.3%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
105,スルピリド錠100mg(TYK),1,2023-04-17 11:08:50,2023-04-17 11:08:50
106,スルモンチール散10%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
107,ゾピクロン錠,1,2023-04-17 11:08:50,2023-04-17 11:08:50
108,ジアゼパム錠「ツルハラ」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
109,ゼストロミン錠 0.25mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
110,セディール錠10 10mg,1,2023-04-17 11:08:50,2023-04-17 11:08:50
111,エチゾラム細粒1%「JG」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
112,セトウス細粒 10%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
113,セニラン細粒 1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
114,セパゾン散1%,1,2023-04-17 11:08:50,2023-04-17 11:08:50
115,チミペロン細粒「アメル」,1,2023-04-17 11:08:50,2023-04-17 11:08:50
