テキスト,カテゴリ
フェノバルビタール,フェノバルビタール
2023-10-20 フェノバルビタール,フェノバルビタール
2024-09-04 フェノバルビタール,フェノバルビタール
2023-09-06 フェノバルビタール,フェノバルビタール
2024-02-25 フェノバルビタール,フェノバルビタール
2023-05-06 フェノバルビタール,フェノバルビタール
臭化カリウム,臭化カリウム
2023-11-02 臭化カリウム,臭化カリウム
2023-01-22 臭化カリウム,臭化カリウム
2024-02-22 臭化カリウム,臭化カリウム
2023-10-08 臭化カリウム,臭化カリウム
2024-08-10 臭化カリウム,臭化カリウム
フェニトイン,フェニトイン
2024-03-23 フェニトイン,フェニトイン
2024-12-01 フェニトイン,フェニトイン
2024-02-07 フェニトイン,フェニトイン
2023-10-24 フェニトイン,フェニトイン
2023-11-27 フェニトイン,フェニトイン
「純生」アネステジン,「純生」アネステジン
2024-07-21 「純生」アネステジン,「純生」アネステジン
2023-08-02 「純生」アネステジン,「純生」アネステジン
2024-03-23 「純生」アネステジン,「純生」アネステジン
2024-05-01 「純生」アネステジン,「純生」アネステジン
2023-05-21 「純生」アネステジン,「純生」アネステジン
アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
2024-02-28 アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
2024-06-02 アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
2023-08-27 アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
2023-09-06 アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
2023-07-21 アネスタミン「ツキシマ」,アネスタミン「ツキシマ」
アネトカインビスカス2%,アネトカインビスカス2%
2024-11-28 アネトカインビスカス2%,アネトカインビスカス2%
2023-08-23 アネトカインビスカス2%,アネトカインビスカス2%
2023-08-06 アネトカインビスカス2%,アネトカインビスカス2%
2024-01-07 アネトカインビスカス2%,アネトカインビスカス2%
2024-08-29 アネトカインビスカス2%,アネトカインビスカス2%
アミノ安息香酸エチル,アミノ安息香酸エチル
2023-03-10 アミノ安息香酸エチル,アミノ安息香酸エチル
2023-11-15 アミノ安息香酸エチル,アミノ安息香酸エチル
2025-01-01 アミノ安息香酸エチル,アミノ安息香酸エチル
2024-03-22 アミノ安息香酸エチル,アミノ安息香酸エチル
2024-05-30 アミノ安息香酸エチル,アミノ安息香酸エチル
ストロカイン錠 5mg,ストロカイン錠 5mg
2023-04-20 ストロカイン錠 5mg,ストロカイン錠 5mg
2024-01-04 ストロカイン錠 5mg,ストロカイン錠 5mg
2024-05-14 ストロカイン錠 5mg,ストロカイン錠 5mg
2023-12-07 ストロカイン錠 5mg,ストロカイン錠 5mg
2023-08-11 ストロカイン錠 5mg,ストロカイン錠 5mg
スルカイン錠 100mg,スルカイン錠 100mg
2023-12-05 スルカイン錠 100mg,スルカイン錠 100mg
2024-11-28 スルカイン錠 100mg,スルカイン錠 100mg
2024-04-22 スルカイン錠 100mg,スルカイン錠 100mg
2024-06-29 スルカイン錠 100mg,スルカイン錠 100mg
2023-12-20 スルカイン錠 100mg,スルカイン錠 100mg
ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
2024-09-15 ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
2024-12-12 ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
2024-08-24 ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
2024-08-11 ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
2023-03-17 ピペリジノアセチルアミノ安息香酸エチル顆粒,ピペリジノアセチルアミノ安息香酸エチル顆粒
リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
2024-08-21 リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
2023-02-01 リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
2024-07-12 リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
2024-08-31 リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
2023-08-07 リドカイン塩酸ビス 2%「日新」,リドカイン塩酸ビス 2%「日新」
「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
2024-01-01 「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
2023-05-03 「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
2023-10-18 「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
2024-06-21 「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
2024-03-04 「純生」ブロムワレリル尿素,「純生」ブロムワレリル尿素
「純生」ルミナール,「純生」ルミナール
2024-09-15 「純生」ルミナール,「純生」ルミナール
2023-05-08 「純生」ルミナール,「純生」ルミナール
2023-09-26 「純生」ルミナール,「純生」ルミナール
2024-02-21 「純生」ルミナール,「純生」ルミナール
2023-06-16 「純生」ルミナール,「純生」ルミナール
10mgコントール錠,10mgコントール錠
2024-04-06 10mgコントール錠,10mgコントール錠
2023-04-02 10mgコントール錠,10mgコントール錠
2024-10-08 10mgコントール錠,10mgコントール錠
2024-06-20 10mgコントール錠,10mgコントール錠
2023-06-24 10mgコントール錠,10mgコントール錠
10mgセルシン錠,10mgセルシン錠
2023-07-20 10mgセルシン錠,10mgセルシン錠
2023-04-21 10mgセルシン錠,10mgセルシン錠
2024-02-25 10mgセルシン錠,10mgセルシン錠
2023-05-04 10mgセルシン錠,10mgセルシン錠
2024-04-09 10mgセルシン錠,10mgセルシン錠
2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
